,artista,medio,programa,produccion/director
0,javier-lorenzo,television,“CUÉNTAME  CÓMO  PASÓ” , (Oriol). Tve1. 2011-2021
1,javier-lorenzo,cine,“EL AVISO” , Dir. Daniel Calparsoro. 2018
2,javier-lorenzo,cine,”LIFE VEST UNDER YOUR SEAT” (Volamos hace Miami) , Cortometraje - Dir. Maria Giraldez y Miguel Provencio. *Seleccionado “Mejor corto de ficción en los Premios Goya 2014”
3,carlos-scholz,television,"""SIN LIMITES"" ", Amazon Prime Videos.
4,carlos-scholz,television,"""FERIA: LA LUZ MÁS OSCURA"" ", Filmax. Netflix
5,carlos-scholz,television,"""DESCONOCIDAS"" ", (Pablo). Dir. Peris Romano. Canal Sur
6,carlos-scholz,television,"""JODIDÍSIMAS"" ", María Dueñas. Audible - Amazon.
7,carlos-scholz,television,"""TOY BOY""", Antena3. Netflix.
8,carlos-scholz,cine,“AWARENESS” , Daniel Benmayor - AmazonPrime - (protagonista) - 2023.
9,carlos-scholz,cine,”MI OTRO JON” , Pago Arango - 2023.
10,carlos-scholz,cine,"""LA MANIOBRA DE LA TORTUGA"" ", Juan Miguel de Castillo - 2022.
11,carlos-scholz,teatro,"""ROMEO Y JULIETA""", Dir. Patateatro
12,carlos-scholz,teatro,"""COPLAS DE PABLO RUÍZ PICASSO""", Dir: Ángel Baena
13,carlos-scholz,teatro,"""CHICAGO, EL MUSICAL""", Dir: Celia Dolci
14,carlos-scholz,teatro,"""LA CASA HABITADA""", Dir. Ángel Baena
15,iván-montes,television,“El Otro Lado” , El Terrat - Movistar+ - 2023
16,iván-montes,television,"""YRREAL""", Moa Studios - Dir. Alberto Utrera - Playz.
17,iván-montes,television,"""EL SECRETO DE PUENTE VIEJO""", (personaje: Matías) - Antena 3.
18,iván-montes,cine,“ETROMA” , Corto - (personaje: Javier) - Dir. Jorge del Álamo. 2022
19,iván-montes,cine,”13 SEGUNDOS ANTES DEL AÑO NUEVO” , Corto - Dir. José Luis Grifol. 2022
20,iván-montes,cine,”EL BANCO” , Corto - (personaje: Rodri) - Dir. José Luis Grifol. 2022
21,iván-montes,cine,"""NO CULPES AL KARMA DE LO QUE TE PASA POR GILIPOLLAS""", Largometraje - Dir. María Ripoll
22,iván-montes,teatro,B,a
23,iván-montes,teatro, , 
24,iván-montes,teatro,," Skate, Baile moderno, DJ."
25,iván-montes,formacion,C,u
26,iván-montes,formacion,C,u
27,iván-montes,formacion,B,a
28,iván-montes,formacion,C,u
29,pepe-sevilla,television,A,M
30,pepe-sevilla,cine,S,I
31,pepe-sevilla,cine,M,A
32,pepe-sevilla,cine,C,R
33,pepe-sevilla,cine,E,L
34,pepe-sevilla,cine,D,o
35,pepe-sevilla,teatro,"""El cuaderno de Pitágoras"" ",  Dir. Carolina Africa. Personaje Luis Miguel. CDN 2022
36,pepe-sevilla,teatro,"""Fiesta de farsantes"" "," Versión de José Luis Alonso de Santos sobre Pasos de Lope de Rueda y dirección de Daniel Alonso. Personajes “Alguacil”, Sanguijuela” y “Tomillo”. Coliseo"
37,pepe-sevilla,teatro,"""Cuadros de amor y humor al fresco"" ",  escrita y dirigida por José Luis Alonso de Santos (Olvido Producciones SL). Personaje “El Niño”. 
38,pepe-sevilla,teatro,"""Diez euros la copa"" "," Obra en cuatro comidas y un epílogo, escrita y dirigida por José Luis Alonso de Santos (Olvido Producciones SL). Personaje “El Niño”. "
39,pepe-sevilla,teatro,"""Redención para Pármeno"" ", Alberto Gálvez. Dirección Roberto del Castar. Personaje “Pármeno”. 
40,pepe-sevilla,teatro,"""23 Rojo"" ",  Texto y dirección Mattis Gabriel de la Fuente. Dirección artística Cristina Marín Miró. Personaje “Orellana”. 
41,pepe-sevilla,teatro,"""Descomposición escénica (En varios cuadros y alguna viñeta"") ", Escrita y dirigida por A. Pérez Portillo. Producida por CNCC Compañía Nacional de Comedias Cómicas. 
42,pepe-sevilla,formacion,T,í
43,pepe-sevilla,formacion,1,º
44,pepe-sevilla,formacion,I,n
45,mateo-rubistein,television,“LOS PACIENTES DEL DOCTOR GARCÍA” , RTVE y  Diagonal tv.
46,mateo-rubistein,television,“HERIDAS”. , Antena 3.
47,mateo-rubistein,television,"""TODO POR EL JUEGO""", Movistar+
48,mateo-rubistein,television,"""CENTRO MÉDICO""", TVE
49,mateo-rubistein,television,"""EL GRAN QUEO""", Canal Sur
50,mateo-rubistein,television,"""LOS MISTERIOS DE LAURA"""," TVE, Amazon Prime"
51,mateo-rubistein,television,"""ÁGUILA ROJA"""," TVE, Amazon Prime"
52,mateo-rubistein,television,"""EL HIJO""", Filmin
53,mateo-rubistein,television,"""18.0""", Webserie. Dir. Julio Vera
54,mateo-rubistein,teatro,"""VIDAS ENTERRADAS""", Dir: Mariano Llorente
55,mateo-rubistein,teatro,"""BARRO""",  Dir: Jose Luis Arellano
56,mateo-rubistein,teatro,"""LA FUNDACIÓN""", Dir: Jose Luis Arellano
57,mateo-rubistein,teatro,"""DESGANA NACIONAL""", Proyecto Una Mirada Diferente
58,mateo-rubistein,teatro,"""CUATRO CORAZONES CON FRENO Y MARCHA ATRÁS""", Dir: Gabriel Olivares
59,mateo-rubistein,teatro,"""HANSEL Y GRETEL""", Dir: Silvia Galera
60,mateo-rubistein,teatro,"""ACTION! UN VOYAGE À TRAVERS LES SIÈCLES""", Cía Clic-Olé 
61,mateo-rubistein,teatro,"""LA HABITACIÓN DE MATEO/ EL CAMPAMENTO""", Dir. Andrew Bardwell
62,mateo-rubistein,teatro,"""LA ÚLTIMA NOCHE""", Dir. Jazz Vilá
63,mateo-rubistein,teatro,D,o
64,mateo-rubistein,teatro,"""",I
65,mateo-rubistein,formacion,M,Á
66,mateo-rubistein,formacion,D,R
67,mateo-rubistein,formacion,I,N
68,mateo-rubistein,formacion,C,R
69,mateo-rubistein,formacion,I,d
70,mateo-rubistein,formacion,I,n
71,mateo-rubistein,formacion,E,s
72,mateo-rubistein,formacion,O,t
73,mateo-rubistein,formacion,C,A
74,mateo-rubistein,formacion,L,A
75,mateo-rubistein,cortometrajes,“FANTASMA” , Dir. Roberto Pérez Toledo
76,mateo-rubistein,cortometrajes,"""PICNIK""", Dir. Enrico Farina
77,mateo-rubistein,cortometrajes,"""DE CÁNCER A LEO""", Dir. Marja Noponen
78,mateo-rubistein,cortometrajes,"""EL DEFENSOR""", Dir. Manuel H. Martín
79,víctor-castilla,television,“,R
80,víctor-castilla,television,"""APAGÓN"" ", Movistar. Dir. Rodrigo Sorogoyen
81,víctor-castilla,television,"""KOSTA "," The Paradise"" - Mediaproduccion."
82,víctor-castilla,television,"""DOS VIDAS” ", Bambú Producciones. RTVE.
83,víctor-castilla,television,"""LOS HOMBRES DE PACO""", Globomedia 
84,víctor-castilla,television,"""MALAKA""", TVE
85,víctor-castilla,cine,“MODELO 77” , (pers. Rompetechos) - Dir. Alberto Rodriguez.
86,víctor-castilla,cine,"""EL UNIVERSO DE OLIVER"" ", Dir. Alexis Morante
87,víctor-castilla,cine,"""CONTANDO OVEJAS""", Dir. José Corral
88,víctor-castilla,cine,"""TORO"" Toro", dIR. Kike Maillo
89,víctor-castilla,cine,"""",E
90,víctor-castilla,cine,*, 
91,víctor-castilla,teatro,"""¡QUÉ RUINA DE FUNCIÓN!""", Dir. Manuel Araújo
92,víctor-castilla,teatro,"""LA ÓPERA DE LOS TRES CENTAVOS""", Dir. Cristina Pinto
93,víctor-castilla,teatro,"""TRES SOMBREROS DE COPA""", Dir. Manuel Araújo
94,víctor-castilla,teatro,"""EL DESDÉN CON EL DESDÉN""", Dir. Inma Ruíz 
95,víctor-castilla,teatro,"""",C
96,víctor-castilla,teatro,"""",E
97,víctor-castilla,teatro,*, 
98,víctor-castilla,formacion,"Escuela Superior de Arte Dramático de Málaga, 2010",2015
99,víctor-castilla,formacion,I,d
100,víctor-castilla,formacion,I,n
101,víctor-castilla,formacion,F,r
102,víctor-castilla,formacion,H,a
103,víctor-castilla,formacion,E,s
104,víctor-castilla,formacion,P,i
105,víctor-castilla,cortometrajes,“FANTASMA” , Dir. Roberto Pérez Toledo
106,víctor-castilla,cortometrajes,"""PICNIK""", Dir. Enrico Farina
107,víctor-castilla,cortometrajes,"""DE CÁNCER A LEO""", Dir. Marja Noponen
108,víctor-castilla,cortometrajes,"""EL DEFENSOR""", Dir. Manuel H. Martín
109,david-mora,television,Curso de preparación para el casting con Raquel Pérez. ," Clases de voz con Vicente Fuentes, Sara Pérez y Laura Toledo."
110,david-mora,television,I,n
111,david-mora,television,O,t
112,david-mora,television,I,n
113,david-mora,television,"Deportes: esgrima, baile (funky, hip","hop), natación (subcampeón de España)."
114,david-mora,television,P,r
115,david-mora,television,," 2019: Premio del público por cortometraje ""iLove"" en Notodofilmfest."
116,david-mora,television,," 2014: Mejor Actor de Reparto por ""Los Amigos Raros"", Euphoria Int Competition."
117,david-mora,television,, 2008: Licenciado en Comunicación Audiovisual 13 Matrículas de Honor.
118,david-mora,television,w,w
119,david-mora,cine,"""LA NOVIA DE AMÉRICA"" ", Alfonso Albacete
120,david-mora,cine,"""LOS AMORES COBARDES""", Carmen Blanco 
121,david-mora,cine,"""KIKI, EL AMOR SE HACE""", Paco León 
122,david-mora,cine,"""COMO LA ESPUMA""", Roberto Pérez Toledo 
123,david-mora,cine,"""GERNIKA""", Koldo Serra 
124,david-mora,cine,“LOS AMIGOS RAROS”, Roberto Pérez-Toledo 
125,david-mora,cine,“SEI LÁ”, Joaquin Leitâo 
126,david-mora,cine,“EN APATÍA”, Joel Arellanes Duran 
127,david-mora,cine,“AL FINAL TODOS MUEREN”," Javier Fesser, Javier Botet y Pablo Vara "
128,david-mora,cine,“AFTERPARTY”, Miguel Larraya 
129,david-mora,cine,“SEIS PUNTOS SOBRE EMMA”, Roberto Pérez Toledo
130,david-mora,teatro,"""V.O.S.""", Carol López
131,david-mora,teatro,"""EL CONTADOR DEL AMOR""", César Lucendo 
132,david-mora,teatro,"""JOSE, LUIS""", Virginia Rodríguez 
133,david-mora,teatro,"""",J
134,david-mora,teatro,“,D
135,david-mora,teatro,“,U
136,david-mora,formacion,W,o
137,david-mora,formacion,2º Curso Anual en Estudio Juan Codina. , Coaching con Chules Piñiango y Raquel Pérez.
138,david-mora,cortometrajes,“LA NOCHE” , David Mateo 
139,david-mora,cortometrajes,"""DOS VEINTITRÉS""",  David Mora 
140,david-mora,cortometrajes,"""ENGAGEMENT"" y “CHICOS QUE LLORAN""", Roberto Pérez Toledo 
141,david-mora,cortometrajes,"""CLIFFHANGER"" y “PAJAS”", David Mora 
142,david-mora,cortometrajes,“,H
143,david-mora,cortometrajes,“ALDEBHER”, Víctor Marfil 
144,david-mora,cortometrajes,“NADA MENOS” y “NOT AGAIN”, David Galán Galindo 
145,ángel-velasco,television,UPA NEXT ," Atresplayer, Mediapro"
146,ángel-velasco,television,TODO POR EL JUEGO , Movistar + DirecTV y MediaPro
147,ángel-velasco,television,TOY BOY , Netflix. Iñaki Mercero. Plano a plano
148,ángel-velasco,television,CENTRO MÉDICO , TVE1. Zebra Producciones TVE
149,ángel-velasco,television,IS_LANDIA , Pablo Ros. Producciones Transaltánticas 
150,ángel-velasco,television,ARRAYAN , Antonio Henz. Linze TV
151,ángel-velasco,television,UNA ESPERA DE LOCURA , TAI Producciones
152,ángel-velasco,television,ECONOMIA O LA TUYA , Oscar Plasencia y Charlie Levi Leroy/Hispan TV
153,ángel-velasco,television,LA ACERA DE ENFRENTE , Miguel Mérida y Antonio Palomino/LoaSur
154,ángel-velasco,television,FAUSTO , Nacho Recio/Delnido Producciones
155,ángel-velasco,cine, , 
156,ángel-velasco,cine,Guitarra , Batería - Bajo
157,ángel-velasco,cine,Acrobacia básica , Esgrima - Lucha escénica
158,ángel-velasco,cortometrajes,“LA NOCHE” , David Mateo 
159,ángel-velasco,cortometrajes,"""DOS VEINTITRÉS""",  David Mora 
160,ángel-velasco,cortometrajes,"""ENGAGEMENT"" y “CHICOS QUE LLORAN""", Roberto Pérez Toledo 
161,ángel-velasco,cortometrajes,"""CLIFFHANGER"" y “PAJAS”", David Mora 
162,ángel-velasco,cortometrajes,“,H
163,ángel-velasco,cortometrajes,“ALDEBHER”, Víctor Marfil 
164,ángel-velasco,cortometrajes,“NADA MENOS” y “NOT AGAIN”, David Galán Galindo 
165,agustin-otón,television,C,l
166,agustin-otón,television,T,r
167,agustin-otón,television,Diplomado en Magisterio en la especialidad de Educación Musical. (2005 , 2008). 
168,agustin-otón,television,O,t
169,agustin-otón,television,Voz de tenor (registro Fa₂,Fa₄) 
170,agustin-otón,television,Contratenor (registro Fa₂,Sib₄) 
171,agustin-otón,cine,"""A MIL KILÓMETROS DE LA NAVIDAD""", Dir. Alvaro Fernández Armero
172,agustin-otón,cine,"  ""MIENTRAS DURE LA GUERRA""", Dir. Alejandro Amenábar
173,agustin-otón,cine,"  ""LOS AMORES COBARDES""", Dir. Carmen Blanco (Festival de Málaga)
174,agustin-otón,cine,"  ""EL ÚLTIMO UNICORNIO""", Dir. Carmen Blanco
175,agustin-otón,teatro,"  “LA LIGAZÓN DE DON PERLIMPLÍN""", Dir. Asia León
176,agustin-otón,formacion,Licenciado en Arte Dramático por la ESAD de Murcia. (2008 , 2012) 
177,agustin-otón,formacion,C,u
178,agustin-otón,cortometrajes,"  “CONTINUARÁ""", Dir. Elvira Morales
179,agustin-otón,cortometrajes,"  “LOS PÁJAROS SÍ TIENEN ALAS""", Dir. José Gasset
180,agustin-otón,cortometrajes,"  “MEPHISTOPHELES CASE""", Dir. Alfonso P. Nicolás 
181,agustin-otón,cortometrajes,  “SANDWICH”, Dir. Gabriel Martín
182,agustin-otón,cortometrajes,  “CUATROCIENTAS CALADAS”, Dir. José Luis Estaño Arronis
183,rubén-de-eguía,television,“HERIDAS” , Atresmedia
184,rubén-de-eguía,television,"  ""MENTIRAS”""", Netflix
185,rubén-de-eguía,television,"  ""CUENTAME COMO PASÓ""", Ganga Prod. & TVE
186,rubén-de-eguía,television,"  ""COM SI FOS AHIR""", Televisió de Catalunya 
187,rubén-de-eguía,television,"  ""ACACIAS 38 """, Boomerang & RTVE
188,rubén-de-eguía,television,"  ""LA DAMA DEL CUADRO""", División XL
189,rubén-de-eguía,television,"  ""MERLÍ""", Veranda
190,rubén-de-eguía,television,"  ""EL VIRUS DE LA POR""", Els Films de la Rambla
191,rubén-de-eguía,television,"  ""EXPIRATION DATE""", Jóvenes Realizadores
192,rubén-de-eguía,cine,"""A MIL KILÓMETROS DE LA NAVIDAD""", Dir. Alvaro Fernández Armero
193,rubén-de-eguía,cine,"  ""MIENTRAS DURE LA GUERRA""", Dir. Alejandro Amenábar
194,rubén-de-eguía,cine,"  ""LOS AMORES COBARDES""", Dir. Carmen Blanco (Festival de Málaga)
195,rubén-de-eguía,cine,"  ""EL ÚLTIMO UNICORNIO""", Dir. Carmen Blanco
196,rubén-de-eguía,teatro,*,I
197,rubén-de-eguía,teatro,*,H
198,rubén-de-eguía,cortometrajes,"  “CONTINUARÁ""", Dir. Elvira Morales
199,rubén-de-eguía,cortometrajes,"  “LOS PÁJAROS SÍ TIENEN ALAS""", Dir. José Gasset
200,rubén-de-eguía,cortometrajes,"  “MEPHISTOPHELES CASE""", Dir. Alfonso P. Nicolás 
201,rubén-de-eguía,cortometrajes,  “SANDWICH”, Dir. Gabriel Martín
202,rubén-de-eguía,cortometrajes,  “CUATROCIENTAS CALADAS”, Dir. José Luis Estaño Arronis
203,jesús-caba,television,"""",A
204,jesús-caba,television,“,A
205,jesús-caba,television,“MARAS” , Antena 3
206,jesús-caba,television,“,I
207,jesús-caba,television,“ESCENAS DE MATRIMONIO” ,  Telecinco
208,jesús-caba,television,“,Y
209,jesús-caba,television,“,E
210,jesús-caba,television,“,H
211,jesús-caba,television,“,A
212,jesús-caba,television,“LA SOPA BOBA” , Antena 3
213,jesús-caba,television,“LA CASA DE LOS LÍOS” , Antena 3
214,jesús-caba,cine,"""IBIZA""", Dir. Alex Richanbach
215,jesús-caba,cine,"""QUE DIOS NOS PERDONE""", Dir. Rodrigo Sorogoyen
216,jesús-caba,cine,"""EL ILUSO""", Dir. Rodrigo Sorogoyen
217,jesús-caba,cine,"“PARA ELISA""", Dir. Juanra Fernandez
218,jesús-caba,cine,"“STOCKHOLM""", Dir. Rodrigo Sorogoyen. 
219,jesús-caba,cine,"“OCHO CITAS""", Dir. Peris Romano y Rodrigo Sorogoyen
220,jesús-caba,teatro,“,C
221,jesús-caba,teatro,“,L
222,jesús-caba,teatro,“,E
223,jesús-caba,teatro,“,L
224,jesús-caba,teatro,“,E
225,jesús-caba,formacion,E,s
226,jesús-caba,formacion,C,u
227,jesús-caba,formacion,S,e
228,jesús-caba,cortometrajes,“EL VIAJE AL PARAÍSO,  Dir. Juanan Martínez (Cortometraje).
229,jesús-caba,cortometrajes,“,E
230,jesús-caba,cortometrajes,“,A
231,jesús-caba,cortometrajes,“,C
232,jesús-caba,cortometrajes,“,L
233,jesús-caba,cortometrajes,“,U
234,josé-gabriel-campos,television,"""El Secreto de Puente Viejo"" (Onésimo Mirañar ", 1200 capítulos). Atresmedia y Boomerang TV. 2015-2020
235,josé-gabriel-campos,television,"""El Secreto de Puente Viejo"" (Fidel/ladrón ", Cáp.838-844). Atresmedia y Boomerang TV. 2014
236,josé-gabriel-campos,teatro,• Taller de Estill Voice Craft (voz). Nivel 1 y Nivel 2. Impartido por Hellen Rowson. UARM y ESMUVA 2014,18
237,josé-gabriel-campos,teatro,•, 
238,josé-gabriel-campos,teatro,•, 
239,josé-gabriel-campos,teatro,•, 
240,josé-gabriel-campos,teatro,•, 
241,josé-gabriel-campos,teatro,•, 
242,josé-gabriel-campos,teatro, , 
243,josé-gabriel-campos,teatro,"  * Profesor de Técnica Gestual → Scuola Internazionale dell'Attore Comico, Antonio Fava, Reggio Emilia (Italia), 2010",14.
244,josé-gabriel-campos,teatro,*, 
245,josé-gabriel-campos,teatro, , 
246,josé-gabriel-campos,teatro, , 
247,josé-gabriel-campos,teatro,•, 
248,josé-gabriel-campos,teatro,•, 
249,josé-gabriel-campos,teatro,•, 
250,josé-gabriel-campos,teatro,•, 
251,josé-gabriel-campos,teatro, , 
252,josé-gabriel-campos,teatro,  ," Inglés (alto, C2)"
253,josé-gabriel-campos,teatro,," Italiano (medio-alto, B2-C1)"
254,josé-gabriel-campos,teatro,," Alemán (medio, B2)"
255,josé-gabriel-campos,teatro, , 
256,josé-gabriel-campos,formacion,•, 
257,josé-gabriel-campos,formacion,•, 
258,josé-gabriel-campos,formacion,•, 
259,josé-gabriel-campos,formacion, , 
260,josé-gabriel-campos,formacion,•, 
261,josé-gabriel-campos,formacion,•, 
262,josé-gabriel-campos,cortometrajes,“EL VIAJE AL PARAÍSO,  Dir. Juanan Martínez (Cortometraje).
263,josé-gabriel-campos,cortometrajes,“,E
264,josé-gabriel-campos,cortometrajes,“,A
265,josé-gabriel-campos,cortometrajes,“,C
266,josé-gabriel-campos,cortometrajes,“,L
267,josé-gabriel-campos,cortometrajes,“,U
268,iván-cózar,television,“NACHO XXXL” , Starzplay
269,iván-cózar,television,“HERIDAS” , Atresmedia.
270,iván-cózar,television,"""SEÑORAS DEL (H)AMPA""", Mandarina
271,iván-cózar,television,"""MATADERO""", Atresmedia series
272,iván-cózar,television,"""CENTRO MÉDICO""", TVE1
273,iván-cózar,television,"""SPOILER""", Movistar +
274,iván-cózar,television,"""EL MINISTERIO DEL TIEMPO""", TVE1
275,iván-cózar,cine,“MARI(DOS)” , Dir. Lucia Alemany
276,iván-cózar,cine,"""NIEVA EN BENIDORM""", Dir. Isabel Coixet
277,iván-cózar,cine,"""TOC, TOC""", Dir. Vicente Villanueva  
278,iván-cózar,cine,"“UN HIJO DE PUTA MUY PELIGROSO""",  Dir. Jose Luis Estañ Arronis
279,iván-cózar,cine,"“ENTRE PINCELADAS""", Dir. Javier de Juan
280,iván-cózar,cine,"“PÁGINAS DEL TERCER REICH""", Dir. Antonio Chinchilla
281,iván-cózar,cine,"“APARCADOS""", Dir. Meka Ribera 
282,iván-cózar,cine,"“CUATRO PAREDES""", Dir. Meka Riber
283,iván-cózar,cine,"“LA CIUDAD INERTE""", Dir. Javier Villamor
284,iván-cózar,teatro,"“LAS BICICLETAS SON PARA EL VERANO""", Dir. J.Carlos de Ibarras
285,iván-cózar,teatro,“LA FLOR DE LOS PÉTALOS MARCHITOS, Dir. Paco Maciá LaCatterva y Cia Ferroviaria
286,iván-cózar,teatro,"“VIAJE A ÍTACA""", Dir. Gloria Sirvent Cia Inextremis
287,iván-cózar,formacion,F,O
288,iván-cózar,formacion,2013, Licanciado en Arte Dramático ESAD de Murcia. Interpretación textual.
289,iván-cózar,formacion,F,O
290,iván-cózar,formacion,2014, Interpretación ante la camara Cristina Alcaraz
291,iván-cózar,formacion,2012, Interpretación ante la cámara Eva Torres. ESADMurcia
292,iván-cózar,formacion,F,O
293,iván-cózar,formacion,2,0
294,iván-cózar,formacion,2,0
295,iván-cózar,formacion,2,0
296,iván-cózar,formacion,2,0
297,iván-cózar,formacion,2,0
298,iván-cózar,formacion,*,H
299,iván-cózar,formacion,*,I
300,iván-cózar,cortometrajes,“EL VIAJE AL PARAÍSO,  Dir. Juanan Martínez (Cortometraje).
301,iván-cózar,cortometrajes,“,E
302,iván-cózar,cortometrajes,“,A
303,iván-cózar,cortometrajes,“,C
304,iván-cózar,cortometrajes,“,L
305,iván-cózar,cortometrajes,“,U
306,ramon-san-román,television,"""LA REINA DE INDIAS""", Caracol TV/Netflix
307,ramon-san-román,television,"""CENTRO MÉDICO""", Tve
308,ramon-san-román,television,"""ACACIAS 38""", Tve
309,ramon-san-román,television,"""MAR DE PLÁSTICO""", Antena 3
310,ramon-san-román,television,"""ALFOMBRA ROJA PALACE""", Tve
311,ramon-san-román,television,"""AMAR ES PARA SEIMPRE""",  Antena 3
312,ramon-san-román,television,"""AÍDA""", Telecinco
313,ramon-san-román,television,"""LA NOCHE EN PAZ""", Telecinco
314,ramon-san-román,television,"""TODO ES POSIBLE EN EL BAJO""", Telemadrid
315,ramon-san-román,television,"""LA GIRA 2""", Disney Channel
316,ramon-san-román,television,"""EL TIEMPO ENTRE COSTURAS""", Antena3
317,ramon-san-román,television,"""HOMICIDIOS""", Telecinco
318,ramon-san-román,television,"""VIDAS DE CUERVO: ¡PILLADOS!""", Disney Channel
319,ramon-san-román,television,"""LA GIRA""", Disney Channel
320,ramon-san-román,television,"""HOSPITAL CENTRAL""", Telecinco
321,ramon-san-román,television,"""BICHO MALO NUNCA MUERE""", Neox
322,ramon-san-román,television,"""SEXO EN CHUECA""", La Siete
323,ramon-san-román,television,"""BECARIOS""", La Siete
324,ramon-san-román,television,"""CUESTIÓN DE SEXO""", Cuatro
325,ramon-san-román,television,"""SIN TETAS NO HAY PARAISO""", Telecinco
326,ramon-san-román,cine,"""ENCERRADOS (Proyecto Crown)""", Dir. Isidro Morales
327,ramon-san-román,cine,"""NO QUIERO SER RECUERDO""", Dir. Óscar Parra 
328,ramon-san-román,cine,"""ESLABONES PERDIDOS""", Dir. Mariano Barroso
329,ramon-san-román,cine, , 
330,ramon-san-román,cine,"""ADOSADOS""", Dir. Borja Álvarez
331,ramon-san-román,cine,"""MADRID GANGSTER""", Dir. Dains.
332,ramon-san-román,cine,"""CMP MI GRAN NOCHE""", Dir. Dains.
333,ramon-san-román,cine,"""CMP NOCHE DE AGOSTO""", Dir. David Hebrero
334,ramon-san-román,cine,"""SSSH!""", Dir. Laura M. Campos
335,ramon-san-román,cine,"""DECÍDETE""", Dir. José Yebes
336,ramon-san-román,teatro,"""DONDE MUEREN LAS PALABRAS""", Dir. Ángel Caballero
337,ramon-san-román,teatro,"  ""VOS""", Dir Paola Matienzo
338,ramon-san-román,teatro,"  ""FRANCISCUS""", Dir Jose luis Moreno
339,ramon-san-román,teatro,"  ""TÉ DESEO""", Dir Jorge Gálvez Recuero 
